text,label,anger,disgust,fear,joy,sadness,surprise
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),"['joy', 'sadness']",0,0,0,1,1,0
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",['fear'],0,0,1,0,0,0
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,"['anger', 'disgust']",1,1,0,0,0,0
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH","['sadness', 'surprise', 'anger', 'disgust']",1,1,0,0,1,1
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,['joy'],0,0,0,1,0,0
@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,['joy'],0,0,0,1,0,0
I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,"['joy', 'sadness']",0,0,0,1,1,0
Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,['joy'],0,0,0,1,0,0
@wabermes The @RavalliRepublic had a good one but then the reporter quit. ,['neutral'],0,0,0,0,0,0
@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?,['joy'],0,0,0,1,0,0
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,"['surprise', 'anger', 'joy', 'disgust']",1,1,0,1,0,1
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",['sadness'],0,0,0,0,1,0
Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,"['joy', 'sadness']",0,0,0,1,1,0
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway","['anger', 'disgust']",1,1,0,0,0,0
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,"['anger', 'disgust']",1,1,0,0,0,0
@loismackey_ @Dory nah way that's horrible,"['anger', 'disgust']",1,1,0,0,0,0
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,"['fear', 'anger', 'disgust']",1,1,1,0,0,0
angel delight is my everything,['joy'],0,0,0,1,0,0
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,['anger'],1,0,0,0,0,0
In dire need of a worship session to just let go of everything,"['fear', 'joy', 'sadness']",0,0,1,1,1,0
Brb going to sulk in bed until Friday,"['sadness', 'anger', 'joy', 'disgust']",1,1,0,1,1,0
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,['joy'],0,0,0,1,0,0
This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative,['joy'],0,0,0,1,0,0
Weak people revenge. Strong people forgive. Intelligent people ignore.,"['anger', 'joy']",1,0,0,1,0,0
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,['anger'],1,0,0,0,0,0
"I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way..",['joy'],0,0,0,1,0,0
Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,['joy'],0,0,0,1,0,0
@Bridget_Delia @originalaubs omg that's terrible,"['sadness', 'fear', 'anger', 'disgust']",1,1,1,0,1,0
"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",['joy'],0,0,0,1,0,0
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",['fear'],0,0,1,0,0,0
"Jorge deserves it, honestly. He's weak.  #90dayfiance","['anger', 'disgust']",1,1,0,0,0,0
Modern family never fails to cheer me up. Especially Phil.,['joy'],0,0,0,1,0,0
Sometimes I get to sit back and be proud of myself for pleasing Him so well.,['joy'],0,0,0,1,0,0
Follow me on Snapchat 👻 Carlabtst15 #snapchat ,['joy'],0,0,0,1,0,0
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),"['anger', 'disgust']",1,1,0,0,0,0
It's way too hard not to get discouraged.,"['anger', 'sadness']",1,0,0,0,1,0
@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,"['surprise', 'joy']",0,0,0,1,0,1
"Somewhere I rd a rpt tht Pakis wr afraid of TSD &amp; asked it 2 shut dn. Congis obliged &amp; exposed it,hounded them.time to revive. #BadlaofUri",['neutral'],0,0,0,0,0,0
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff","['fear', 'anger', 'disgust']",1,1,1,0,0,0
Manchester derby at home ,['joy'],0,0,0,1,0,0
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern","['fear', 'surprise', 'anger', 'sadness', 'disgust']",1,1,1,0,1,1
"@Girlandlurchers Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x",['joy'],0,0,0,1,0,0
@JaredWyand Maybe if it was transgender the media would cover it #outrage,"['anger', 'sadness']",1,0,0,0,1,0
her; i want a playful relationship\nme; *kicks her off the couch*,['joy'],0,0,0,1,0,0
Romero is fucking dreadful like seriously my 11 month old is better than him.,"['anger', 'disgust']",1,1,0,0,0,0
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,['joy'],0,0,0,1,0,0
Since the 'update' my @iPhone loses power nearly 40% faster. ,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.","['anger', 'disgust']",1,1,0,0,0,0
"All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.",['joy'],0,0,0,1,0,0
@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;,['joy'],0,0,0,1,0,0
@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,"['surprise', 'sadness']",0,0,0,0,1,1
"Anger, resentment, and hatred are the destroyer of your fortune today.","['anger', 'joy']",1,0,0,1,0,0
Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals,['joy'],0,0,0,1,0,0
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
"@jimmyfallon @ShawnMendes I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine #FallSongs","['anger', 'joy']",1,0,0,1,0,0
so gutted i dropped one of my earrings down the sink at school,['sadness'],0,0,0,0,1,0
The Quarterback' wrecks me every time.. #glee,['joy'],0,0,0,1,0,0
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",['disgust'],0,1,0,0,0,0
"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",['joy'],0,0,0,1,0,0
“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,['joy'],0,0,0,1,0,0
"it's still not sunk in that im seeing joe next month, im so grateful and excited shit",['joy'],0,0,0,1,0,0
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @keratx! Still kicking myself for being to shy to hug @mcuban.",['joy'],0,0,0,1,0,0
I'm so bored and fat and full and ridiculously overweight and rolls galore ,"['sadness', 'disgust']",0,1,0,0,1,0
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,['joy'],0,0,0,1,0,0
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",['joy'],0,0,0,1,0,0
"@happyandbashful Flirt, simper, pout, repeat. Yuck.","['anger', 'disgust']",1,1,0,0,0,0
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.","['sadness', 'anger', 'disgust']",1,1,0,0,1,0
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,"['anger', 'disgust']",1,1,0,0,0,0
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",['anger'],1,0,0,0,0,0
Nor hell a fury like a woman scorned -- William Congreve,"['fear', 'anger']",1,0,1,0,0,0
"@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.",['neutral'],0,0,0,0,0,0
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,"['sadness', 'disgust']",0,1,0,0,1,0
@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace,"['joy', 'sadness']",0,0,0,1,1,0
"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",['sadness'],0,0,0,0,1,0
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO","['fear', 'joy']",0,0,1,1,0,0
@Myahrissavietta I'm cheery now 😘😉,['joy'],0,0,0,1,0,0
Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby,['joy'],0,0,0,1,0,0
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep,"['fear', 'anger', 'joy', 'sadness', 'disgust']",1,1,1,1,1,0
@dublinwaltz bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,['joy'],0,0,0,1,0,0
Brad Pitt being investigated for child abuse?! this all just got really #dark,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
Watch this amazing live.ly broadcast by @matt.boss  #musicallyjh,"['surprise', 'joy']",0,0,0,1,0,1
should I #start posting #photos?,['neutral'],0,0,0,0,0,0
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,"['anger', 'disgust']",1,1,0,0,0,0
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'","['anger', 'joy', 'disgust']",1,1,0,1,0,0
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,['joy'],0,0,0,1,0,0
Need a new outlet for #rage,"['anger', 'disgust']",1,1,0,0,0,0
Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically,['joy'],0,0,0,1,0,0
Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,['joy'],0,0,0,1,0,0
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph,['joy'],0,0,0,1,0,0
@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',['disgust'],0,1,0,0,0,0
@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,['joy'],0,0,0,1,0,0
"@healeyraine I'm offended, I actually am","['anger', 'sadness']",1,0,0,0,1,0
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ","['sadness', 'anger', 'disgust']",1,1,0,0,1,0
Gaaaaaaaad! Should have stayed in London!,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
May the optimism of tomorrow be your foundation for today.,['joy'],0,0,0,1,0,0
@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,"['joy', 'sadness']",0,0,0,1,1,0
"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.","['anger', 'disgust']",1,1,0,0,0,0
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",['joy'],0,0,0,1,0,0
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,"['anger', 'disgust']",1,1,0,0,0,0
@andreasarahco do you actually heely on campus bc this should scare you,['fear'],0,0,1,0,0,0
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,"['surprise', 'joy']",0,0,0,1,0,1
Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,['neutral'],0,0,0,0,0,0
@STLouis_RamsFan their whole team is limited when they're on the field. ,['joy'],0,0,0,1,0,0
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",['joy'],0,0,0,1,0,0
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz","['fear', 'sadness']",0,0,1,0,1,0
"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot","['surprise', 'joy']",0,0,0,1,0,1
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,['joy'],0,0,0,1,0,0
People who go the speed limit irritate me,"['anger', 'disgust']",1,1,0,0,0,0
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,['joy'],0,0,0,1,0,0
Last @LGCanada product I buy - I promise! Absolutely  #CustomerService,"['anger', 'joy', 'disgust']",1,1,0,1,0,0
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,"['fear', 'anger', 'disgust']",1,1,1,0,0,0
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,['fear'],0,0,1,0,0,0
"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'",['joy'],0,0,0,1,0,0
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,"['sadness', 'disgust']",0,1,0,0,1,0
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole","['sadness', 'anger', 'disgust']",1,1,0,0,1,0
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,"['anger', 'disgust']",1,1,0,0,0,0
@AzyraiZelo I am shy xD,"['fear', 'sadness']",0,0,1,0,1,0
After what just happened. In need to smoke. ,['anger'],1,0,0,0,0,0
@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,"['anger', 'joy', 'disgust']",1,1,0,1,0,0
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,['anger'],1,0,0,0,0,0
Chris ate all my mac n cheese so imma eat all his taffy #revenge,"['anger', 'joy', 'disgust']",1,1,0,1,0,0
"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",['joy'],0,0,0,1,0,0
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,"['fear', 'anger', 'disgust']",1,1,1,0,0,0
I came to work for no reason 😩🔫\nI could've stayed in bed,"['anger', 'sadness']",1,0,0,0,1,0
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,['fear'],0,0,1,0,0,0
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
hi my names anxiety and i have shaun,['fear'],0,0,1,0,0,0
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat","['sadness', 'disgust']",0,1,0,0,1,0
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
"Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.",['joy'],0,0,0,1,0,0
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",['joy'],0,0,0,1,0,0
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --","['anger', 'disgust']",1,1,0,0,0,0
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz","['fear', 'sadness']",0,0,1,0,1,0
Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),['joy'],0,0,0,1,0,0
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,['joy'],0,0,0,1,0,0
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.","['anger', 'joy', 'disgust']",1,1,0,1,0,0
God we need a new goal keeper! They’re both horrific.,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,"['fear', 'sadness']",0,0,1,0,1,0
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ","['surprise', 'sadness']",0,0,0,0,1,1
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky","['fear', 'joy']",0,0,1,1,0,0
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,['sadness'],0,0,0,0,1,0
I am worried that she felt safe. #unhappy,"['fear', 'sadness']",0,0,1,0,1,0
@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,"['joy', 'sadness']",0,0,0,1,1,0
"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,",['joy'],0,0,0,1,0,0
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,['anger'],1,0,0,0,0,0
"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",['joy'],0,0,0,1,0,0
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,"['anger', 'joy', 'disgust']",1,1,0,1,0,0
Nothing worse than an uber driver that can't drive. #awful,"['anger', 'disgust']",1,1,0,0,0,0
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet","['anger', 'disgust']",1,1,0,0,0,0
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,['joy'],0,0,0,1,0,0
@RIPPoohSavage u know ion play that shit bout my weary brother,"['anger', 'disgust']",1,1,0,0,0,0
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,"['anger', 'disgust']",1,1,0,0,0,0
Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,['joy'],0,0,0,1,0,0
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.","['fear', 'anger', 'disgust']",1,1,1,0,0,0
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,"['anger', 'disgust']",1,1,0,0,0,0
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",['sadness'],0,0,0,0,1,0
Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,['joy'],0,0,0,1,0,0
@DepressedStride &gt; huff louder,['sadness'],0,0,0,0,1,0
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",['joy'],0,0,0,1,0,0
There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,"['anger', 'disgust']",1,1,0,0,0,0
@Cherie_Fitz it's being extremely playful,['joy'],0,0,0,1,0,0
@BarackObama I love Lizzy Warren's latest rage against Wall Street.,"['anger', 'joy']",1,0,0,1,0,0
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,"['anger', 'sadness']",1,0,0,0,1,0
"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",['joy'],0,0,0,1,0,0
